user_id,fullname,abstracts,conflicts
1,Murat Çetkin,"Hair whorl direction and handedness were stated to have a common genetic basis in the random recessive model. This study was carried out with a total of 317 healthy young males. The association between hair whorl swirling direction and handedness, footedness and eyedness were assessed. The direction of hair whorl was clockwise at a rate of 76.7%, and counter clock wise at a rate of 23.3%. There was no significant association between hair whorl direction and handedness, footedness, and eyedness (p > .05). The results indicate that hair whorl swirling direction is not an evident marker of functional laterality.",Selin Bayko;Tunç Kutoğlu
2,Lisa Marie Haraldseide,"Purpose: To explore if preoperative patient-reported health-related quality of life (HRQoL) provides additional prognostic value as a supplement to other preoperatively known clinical factors in patients with high-grade glioma (HGG).Methods: In a prospective explorative study, 114 patients with high-grade glioma were included. The participants completed the generic HRQoL questionnaire EQ-5D 3L, and the disease-specific questionnaires EORTC QLQ-C30 and EORTC QLQ-BN20 1-3 days before surgery. Operating neurosurgeons scored the patient's preoperative functional level by using Karnofsky Performance Status (KPS). Univariate and multivariate Cox regression analyses were performed to identify HRQoL domains that were associated with survival. Kaplan-Meier survival curves and Log-rank tests were used to visualize differences in survival between groups.Results: In addition to preoperative KPS and age, the EORTC QLQ-BN20 subdomains 'seizures' (HR 0.98, p < .006), 'itchy skin' (HR 1.01, p < .036) and 'bladder control' (HR 1.01, p < .023) were statistically significant independent predictors of survival in a multivariate cox model.Conclusions: Our results suggest that in patients with HGG, certain preoperative symptom scales within EORTC QLQ-BN20 may provide additional prognostic information to supplement other clinical prognostic factors. However, further studies are required to validate our findings. Overall the instruments EQ-5D 3L and EORTC QLQ-C30 do not seem to provide much additional valuable prognostic information to already known prognostic factors.",Asgeir Store Jakola;Ole Solheim;Lisa Millgård Sagberg
3,Joenilton Saturnino Cazé Da Silva,"Episodic memory (EM) is a subsystem responsible for storing and evoking information about the ""What"", ""Where"" and ""When"" elements of an event in an integrated way. This capacity depends of structures with hippocampus and prefrontal cortex. The effect of aging on some capacities mediated by these areas, such as the influence of the number of objects on the coding of EM, remains unexplored. The present study examined the memory recall capacity of young and older adults in an EM task which used the number of 2, 4 and 6 items associated with specific space-temporal contexts. The young adults showed better performance coefficients than the older adults in all tasks, regardless of the load used, for all questions, except the ""What"" type. The group differences increase with load augmentation, stabilizing from the tasks with 4 items. In short, the EM efficiency, evaluated through What-Where-When Task, depends on the quantity information encoding.",Flávio Freitas Barbosa;Égina Karoline Gonçalves Da Fonsêca;Fabíola Da Silva Albuquerque;Lucy G Cheke;Bernardino Fernández-Calvo
4,Kelly A Durbin,"Research suggests that mood can moderate age differences in recognizing facial emotion. In this study, we examined how an anxious versus calm mood state affected younger and older adults' processing of emotional faces. Older adults had greater difficulty identifying negative emotions, particularly when emotions were displayed at a low intensity level. However, an anxious mood did not affect age differences in emotional face recognition. In contrast, age, emotional intensity, and current mood state all affected the perceived intensity of emotion. The effects of age and mood on perceived emotional intensity were only observed for low intensity facial expressions. When induced into an anxious mood, younger adults perceived threatening emotions (i.e., fear, anger) as more emotionally intense, whereas older adults perceived anger and happiness to be more intense. These findings emphasize the need to consider both internal and external factors when investigating the effects of age on emotional face processing.",Sarah Rastegar;Bob G Knight
5,Mckenna E Williams,"Although age-related memory differences between young and older adults have been well documented, fewer studies have investigated memory changes in middle age. We examined the performance of healthy middle-aged adults (40-55 years of age; n = 32) in relation to healthy young (18-25 years of age; n = 57) and older adults (65+ years of age; n = 55) on variations of recognition discriminability (RD) indices derived from the California Verbal Learning Test-Second Edition (CVLT-II). Middle-aged adults performed significantly worse (ps < .05) than young adults on multiple RD indices that incorporate semantically related distractor items, suggesting memory changes in middle age may be associated with increased susceptibility to semantic interference. Moreover, middle-aged adults performed comparably to older adults across all RD indices, indicating the recognition profile of middle-aged adults on RD indices more closely resembles that of older adults than young adults.",Lisa V Graves;Emily J Van Etten;Heather M Holden;Lisa Delano-Wood;Mark W Bondi;Jody Corey-Bloom;Dean C Delis;Paul E Gilbert
6,Tomoyo Morita,"Visual self-face and proprioceptive postural recognition predominantly activate the right inferior frontoparietal cortices in human right-handers at the population level. In the present study, prompted by the finding that left-handedness may alter lateralized cortical organization for language, sensory-motor, and cognitive functions observed in right-handers, we investigated individual variations in right-dominant use of the cortices in 50 right-handers and 50 left-handers during self-body recognition (self-face and proprioceptive) tasks. We also investigated possible between-tasks differences in this right-dominant use, and possible atypical left-right reversed lateralization (right-dominance for language and left-dominance for self-body recognition) in left-handers. We measured brain activity using functional magnetic resonance imaging while participants performed a proprioceptive postural recognition task (experiencing illusory movements of the left and the right hands), a visual self-face recognition (self-other distinction) task, and a language (verb generation) task. To evaluate hemispheric dominance, we computed individual lateralization indices for the inferior frontoparietal activities in these tasks. Left-handedness altered the right-hemispheric dominance that was observed in the majority of right-handed participants in both self-body recognition tasks. In the left-handed group, during proprioceptive recognition, participants with right-lateralization, bilaterality, or left-lateralization were equally distributed, and during self-face recognition, right-lateralization was still observed, though the number of participants who demonstrated left-lateralization increased. Atypical left-right reversed lateralization was only observed in left-handed participants, but during both self-body recognition tasks. The present study provides novel and valuable knowledge about right-hemispheric dominance in self-body recognition affected by left-handedness. We discuss how functional lateralization of self-body recognition is shaped in human brain, in terms of handedness, language lateralization, and development.",Minoru Asada;Eiichi Naito
7,Chun-Hao Wang,"Motor expertise has recently been associated with differences in domain-general cognition. Studies using averaged neurophysiological signals (e.g., event-related potentials) have shown varying degree of expertise-related differences in neural activity. As a result, the precise mechanisms underlying these differences remain to be described. Here we used multiscale entropy analysis (MSE) to investigate whether the complexity of underlying neural systems working in a wide-range time scales can better explain the cognitive characteristics of athletes with different domains of expertise. Behavioral and electroencephalograms (EEG) measures of athletes practicing an interceptive sport (badminton; n = 17) or a static sport (long-distance running; n = 17) were assessed during a flanker task with varying degrees of response conflict. The interceptive sport players showed superior behavioral performance overall on the task relative to the static sport players. Although both groups exhibited greater sample entropy across most time scales in high-conflict relative to low-conflict trials over the parietal site, this effect was only evident at coarser time scales over the midfrontal site for the interceptive sport players. Together, our results suggest that individual differences in motor expertise may be associated with difference in information-processing capacity and information integration during cognitive processing, as demonstrated by differential cognitive modulation of brain signal variability.",Wei-Kuang Liang;David Moreau
8,Ricardo Piña,"Attention deficit/hyperactivity disorder (ADHD) is the most prevalent psychiatric childhood disorder, characterized by hyperactivity, impulsivity and impaired attention, treated most frequently with methylphenidate (MPH). For children and adults with ADHD who do not respond satisfactorily or do not tolerate well stimulants such as MPH or D-Amphetamine, for them the alternative is to use Atomoxetine (ATX), a norepinephrine (NE) transporter inhibitor that increase extracellular NE. We examined the effects of ATX on behavior and hippocampal synaptic plasticity in the murine prenatal nicotine exposure (PNE) model of ADHD. ADHD symptoms were measured using behavioral tests, open field for hyperactivity and the Y-maze for spatial working memory. Further, ATX effects on long-term potentiation (LTP) in hippocampal slices at the CA3-CA1 synapse were assessed. PNE mice exhibited the behavioral deficits of ADHD, hyperactivity and spatial memory impairment. Intraperitoneal injection of ATX (2 mg/kg/day) normalized these behaviors significantly after 7 days. In PNE mice LTP was reduced (110.6 ± 4.5% %; n = 7) compared to controls (148.9 ± 5.2%; n = 7; p < 0.05). ATX administration (5 µM) reestablished the LTP in PNE mice to levels similar to the controls (157.7 ± 6.3%; n = 7). Paired-pulse ratios (PPR) were not significantly different for any condition. These results indicate that administration of ATX in a PNE model of ADHD reestablishes TBS-dependent LTP in CA3-CA1 synapses. The results suggest postsynaptic changes in synaptic plasticity as part of the mechanisms that underlie improvement of ADHD symptoms induced by ATX.",Carlos Rozas;Darwin Contreras;Paulina Hardy;Gonzalo Ugarte;Marc L Zeise;Patricio Rojas;Bernardo Morales
9,Moriya Ben Yakir-Blumkin,"Static magnetic field (SMF) is gaining interest as a potential technique for modulating CNS neuronal activity. Previous studies have shown a pro-neurogenic effect of short periods of extremely low frequency pulsatile magnetic fields (PMF) in vivo and pro-survival effect of low intensity SMF in cultured neurons in vitro, but little is known about the in vivo effects of low to moderate intensity SMF on brain functions. We investigated the effect of continuously-applied SMF on subventricular zone (SVZ) neurogenesis and immature doublecortin (DCX)-expressing cells in the neocortex of young adult rats and in primary cultures of cortical neurons in vitro. A small (3 mm diameter) magnetic disc was implanted on the skull of rats at bregma, producing an average field strength of 4.3 mT at SVZ and 12.9 mT at inner neocortex. Levels of proliferation of SVZ stem cells were determined by 5-ethynyl-2'-deoxyuridine (EdU) labelling, and early neuronal phenotype development was determined by expression of doublecortin (DCX). To determine the effect of SMF on neurogenesis in vitro, permanent magnets were placed beneath the culture dishes. We found that low intensity SMF exposure enhances cell proliferation in SVZ and new DCX-expressing cells in neocortical regions of young adult rats. In primary cortical neuronal cultures, SMF exposure increased the expression of newly generated cells co-labelled with EdU and DCX or the mature neuronal marker NeuN, while activating a set of pro neuronal bHLH genes. SMF exposure has potential for treatment of neurodegenerative disease and conditions such as CNS trauma and affective disorders in which increased neurogenesis is desirable.",Yelena Loboda;Levi Schächter;John P M Finberg
10,George M Opie,"The effects of muscle fatigue are known to be altered in older adults, and age-related changes in the brain are likely to be a contributing factor. However, the neural mechanisms underlying these changes are not known. The aim of the current study was to use transcranial magnetic stimulation combined with electroencephalography (TMS-EEG) to investigate age-related changes in cortical excitability with muscle fatigue. In 23 young (mean age ± SD: 22 ± 2 years) and 17 older (mean age ± SD: 68.3 ± 5.6 years) adults, single-pulse TMS-EEG was applied before, during and after the performance of fatiguing, intermittent isometric abduction of the index finger. Motor-evoked potential (MEP) measures of cortical excitability were increased during (estimated mean difference, 123.3%; P < 0.0001) and after (estimated mean difference, 117.5%; P = 0.001) fatigue and this was not different between groups (P > 0.5). For TMS-EEG, the amplitude of the P30 and P180 potentials were unaffected by fatigue in older participants (P > 0.05). In contrast, the amplitude of the N45 potential in older adults was significantly reduced both during (positive cluster: mean voltage difference = 0.7 µV, P < 0.005; negative cluster: mean voltage difference = 0.9 µV, P < 0.0005) and after (mean voltage difference = 0.5 µV, P < 0.005) fatiguing exercise, whereas this response was absent in young participants. These results suggest that performance of maximal intermittent isometric exercise in old but not young adults is associated with modulation of cortical inhibition likely mediated by activation of gamma-aminobutyric acid type A receptors.",Lavender A Otieno;Maryam Pourmajidian;John G Semmler;Simranjit K Sidhu
