user_id,fullname,abstracts
408,Xiaoyu Zhuang,"To inhibit the abnormal aggregation of Cu, Zn-superoxide dismutase (SOD1) is regarded as a potential therapeutic strategy of SOD1-linked amyotrophic lateral sclerosis (ALS). Herein the interactions between SOD1 and four stilbene-based polyphenols, namely resveratrol, oxyresveratrol, polydatin and 2,3, 4', 5-tetrahydroxystilbene-2-O-β-D-glycoside (THSG), were investigated using electrospray ionization mass spectrometry (ESI-MS) combined with ion mobility (IM) spectrometry. The addition of tandem MS to the study of SOD1-ligand complexes provides further insight into their gas-phase stability. Monitoring the unfolding of SOD1-ligand complexes using IM-MS allows observation of subtle changes in the protein stability upon ligand binding. From the MS/MS and IM-MS measurements, polydatin and THSG were highlighted as the strongest bound compounds¬¬¬ in the gas phase, both of them appear to provide a stabilizing effect on the SOD1 dimer conformation. In addition, the data of fluorescence assays clearly show the ability of the ligands to inhibit apoSOD1 from aggregation, and polydatin was found to have the strongest inhibitory effect. Overall, the method described here can be an effective approach to investigate the interactions between SOD1 and other drug-like molecules."
596,Carmit Gal,"The acquisition and retention of motor skills is necessary for everyday functioning in the elderly and may be critical in the context of motor rehabilitation. Recent studies indicate that motor training closely followed by sleep may result in better engagement of procedural (""how to"") memory consolidation processes in the elderly. Nevertheless, elderly individuals are mostly morning oriented and a common practice is to time rehabilitation programs to morning hours. Here, we tested whether the time-of-day wherein training is afforded (morning, 8-10:30 a.m., or evening, 6-9 p.m.) affects the long-term outcome of a multi-session motor practice program (10 sessions across 3-4 weeks) in healthy elderly participants. Twenty-nine (15 women) older adults (60-75 years) practiced an explicitly instructed five-element key-press sequence by repeatedly generating the sequence ""as fast and accurately as possible."" The groups did not differ in terms of sleep habits and quality (1-week long actigraphy); all were morning-oriented individuals. All participants gained robustly from the intervention, shortening sequence tapping duration and retaining the gains (> 90%) at 1-month post-intervention, irrespective of the time-of-day of training. However, retesting at 7-months post-intervention showed that the attrition of the training induced gains was more pronounced in the morning trained group compared to the evening group (76 and 56.5% loss in sequence tapping time; 7/14 and 3/14 participants showed a > 5% decline in accuracy relative to end of training, respectively). Altogether, the results show that morning-oriented older adults effectively acquired skill in the performance of a sequence of finger movements, in both morning and evening practice sessions. However, evening training leads to a significant advantage, over morning training, in the long-term retention of the skill. Evening training should be considered an appropriate time window for motor skill learning in older adults, even in individuals with morning chronotype. The results are in line with the notion that motor training preceding a sleep interval may be better consolidated into long-term memory in the elderly, and thus result in lower forgetting rates."
460,Raymond Pomponio,"As medical imaging enters its information era and presents rapidly increasing needs for big data analytics, robust pooling and harmonization of imaging data across diverse cohorts with varying acquisition protocols have become critical. We describe a comprehensive effort that merges and harmonizes a large-scale dataset of 10,477 structural brain MRI scans from participants without a known neurological or psychiatric disorder from 18 different studies that represent geographic diversity. We use this dataset and multi-atlas-based image processing methods to obtain a hierarchical partition of the brain from larger anatomical regions to individual cortical and deep structures and derive age trends of brain structure through the lifespan (3-96 years old). Critically, we present and validate a methodology for harmonizing this pooled dataset in the presence of nonlinear age trends. We provide a web-based visualization interface to generate and present the resulting age trends, enabling future studies of brain structure to compare their data with this reference of brain development and aging, and to examine deviations from ranges, potentially related to disease."
594,Xinjie Chen,"Objective: To investigate changes in brain function at the regional and whole-brain levels in patients with tremor-dominant Parkinson's disease (TDPD) complicated by sleep disorder (SD) by regional homogeneity (ReHo) and functional connectivity (FC) analysis of whole-brain resting-state functional magnetic resonance images. Materials and Methods: ReHo and seed-based FC analyses were conducted among 32 patients with TDPD and SD (TDPD-SD), 24 with TDPD and no SD (TDPD-NSD), and 23 healthy controls (HCs) to assess spontaneous brain activity and network-level brain function. Correlation analyses were used to examine the associations between brain activity and the clinical data. Results: Anterior cingulate gyrus (ACC) ReHo values differed significantly among the groups. ACC ReHo values were increased in TDPD-SD vs. HC and TDPD-SD vs. TDPD-NSD. ACC ReHo values were reduced in TDPD-NSD vs. HC. TDPD-SD ReHo values were positively correlated with Pittsburgh Sleep Quality Index (PSQI) scores (r = 0.41, p = 0.020) but negatively correlated with Parkinson's Disease Sleep Scale (PDSS) scores (r = -0.38, p = 0.030). FC analysis using ACC as a mask showed that FC of the left olfactory cortex (L-OC), right straight gyrus (R-SG), right superior parietal gyrus (R-SPG), and right precuneus differed significantly among the groups. FC values between R-SG and ACC were significantly lower in TDPD-SD than in TDPD-NSD, while the FC of L-OC and R-OC with ACC was significantly lower in TDPD-SD than in HC. FC between ACC and L-OC, R-SPG, and the right precuneus was lower in TDPD-NSD than in HC. There was no correlation between the FC values and other clinical data in any of the groups. Conclusion: Localized abnormal activity in TDPD-SD was chiefly triggered by ACC. The change in the ReHo of ACC is closely related to the severity of TDPD-associated SD, revealing the role of this region as a regulator of the sleep mechanism in TDPD. Significant abnormal FC was found between R-SG and ACC in TDPD-SD but was not shown to correlate with clinical data."
564,Mihaela Lorger,"Immune checkpoints restrain the immune system following its activation and their inhibition unleashes anti-tumor immune responses. Immune checkpoint inhibitors revolutionized the treatment of several cancer types, including melanoma, and immune checkpoint blockade with anti-PD-1 and anti-CTLA-4 antibodies is becoming a frontline therapy in metastatic melanoma. Notably, up to 60% of metastatic melanoma patients develop metastases in the brain. Brain metastases (BrM) are also very common in patients with lung and breast cancer, and occur in ∼20-40% of patients across different cancer types. Metastases in the brain are associated with poor prognosis due to the lack of efficient therapies. In the past, patients with BrM used to be excluded from immune-based clinical trials due to the assumption that such therapies may not work in the context of ""immune-specialized"" environment in the brain, or may cause harm. However, recent trials in patients with BrM demonstrated safety and intracranial activity of anti-PD-1 and anti-CTLA-4 therapy. We here discuss how immune checkpoint therapy works in BrM, with focus on T cells and the cross-talk between BrM, the immune system, and tumors growing outside the brain. We discuss major open questions in our understanding of what is required for an effective immune checkpoint inhibitor therapy in BrM."
422,Terence E Imbery,"OBJECTIVE
Describe long-term trends and stability of hearing outcomes for patients undergoing primary congenital aural atresia (CAA) repair.


STUDY DESIGN
Retrospective chart review.


SETTING
Single academic, tertiary referral center.


PATIENTS
Children and adults who underwent primary CAA repair between 1980 and 2017.


INTERVENTION
CAA repair.


MAIN OUTCOME MEASURES
Long-term (> 1 yr) postoperative three-tone (500, 1000, 2000 Hz) air conduction pure-tone average (AC PTA) compared with the immediate (within 90 d of surgery) postoperative audiogram.


RESULTS
The mean preoperative AC PTA was 59.6 dB HL. CAA repair improved hearing an average of 30.5 dB, but hearing declined by 8.2 dB over the long-term follow-up period (mean 4.4 yr; range 1-15.7 yr), leaving a final mean improvement of 22.2 dB (final mean AC PTA 37.3 dB HL). Two-thirds (92 of 138 ears) had an AC PTA ≤ 30 dB HL recorded in the first year after surgery. At the last follow-up test, 64% had ""stable"" hearing defined as no more than a 10 dB decline in AC PTA compared with the immediate postoperative audiogram; 21% had a 10 to 20 dB decline, 8% a 20 to 30 dB decline, and 7% declined > 30 dB.


CONCLUSIONS
All patients enjoyed improvement in AC PTA after surgery (preoperative minus the best postoperative PTA, mean = 34 dB, range = 3.3-52 dB). Hearing declined by an average 8.2 dB over the long-term leaving a final average AC PTA of 37.4 dB HL. Sixty-four percent of patients exhibited stable (< 10 dB loss) hearing over time; 36% lost 10 dB or more over the long-term follow-up period. Hearing results typically stabilize over time with most of the change occurring in the first 3 years after CAA repair. Bone conduction thresholds remained stable over the study period."
846,Haley Gittleman,"Background
Glioblastoma (GBM) is the most common and most malignant glioma. Nonglioblastoma (non-GBM) gliomas (WHO Grades II and III) are invasive and also often fatal. The goal of this study is to determine whether sex differences exist in glioma survival.


Methods
Data were obtained from the National Cancer Database (NCDB) for years 2010 to 2014. GBM (WHO Grade IV; N = 2073) and non-GBM (WHO Grades II and III; N = 2963) were defined using the histology grouping of the Central Brain Tumor Registry of the United States. Non-GBM was divided into oligodendrogliomas/mixed gliomas and astrocytomas. Sex differences in survival were analyzed using Kaplan-Meier and multivariable Cox proportional hazards models adjusted for known prognostic variables.


Results
There was a female survival advantage in patients with GBM both in the unadjusted (P = .048) and adjusted (P = .003) models. Unadjusted, median survival was 20.1 months (95% CI: 18.7-21.3 months) for women and 17.8 months (95% CI: 16.9-18.7 months) for men. Adjusted, median survival was 20.4 months (95% CI: 18.9-21.6 months) for women and 17.5 months (95% CI: 16.7-18.3 months) for men. When stratifying by age group (18-55 vs 56+ years at diagnosis), this female survival advantage appeared only in the older group, adjusting for covariates (P = .017). Women (44.1%) had a higher proportion of methylated MGMT (O6-methylguanine-DNA methyltransferase) than men (38.4%). No sex differences were found for non-GBM.


Conclusions
Using the NCDB data, there was a statistically significant female survival advantage in GBM, but not in non-GBM."
233,Natascia De Lucia,"OBJECTIVE
Patients with Huntington's disease (HD) may show impairments of frontal cortical-subcortical circuits with difficulties on cognitive flexibility tasks. One marker of poor flexibility is ""perseveration"" behavior, which refers to inappropriate and involuntary production of iterative responses not adequate to the current task demands. This study explored frequency, type, and possible cognitive mechanisms of verbal perseverations in a large sample of HD patients.


METHOD
A sample of 128 patients with HD underwent phonological and category verbal fluency tests to assess perseverative errors, within a wide neuropsychological, psychopathological, motor, and functional assessment.


RESULTS
Perseverative errors in verbal fluency task occurred in 89 (69.5%) patients. Patients showing perseverations scored significantly lower than patients without perseverations on tasks tapping executive and motor functions and on functional independence scales. Logistic regression analysis revealed a significant independent association of verbal perseverations with scores on Trail Making Test only. Conclusions: Verbal perseverations are frequent in HD patients and are likely related with impairments of attentional switching and working memory, hampering tracking of verbal responses already produced. Perseverative behavior may serve as a useful clinical marker of cognitive and functional impairment in patients with HD."
782,Natasha L Wilkins,"Clinical methods for determining the severity of traumatic spinal cord injury (SCI) and long-term functional outcome in the acute setting are limited in their prognostic accuracy due to the heterogeneity of injury and dynamic injury progression. The purpose of this study was to evaluate the timecourse and sensitivity of advanced MRI methods to neurological function after SCI in a rat contusion model. Rats received a graded contusion injury at T10 using a weight-drop apparatus. MRI consisted of morphological measures from T2-weighted imaging, quantitative T2-imaging, and diffusion weighted imaging (DWI) at 1, 30, and 90 days post injury (dpi). The derived metrics were compared with neurological function assessed using weekly Basso, Beattie, and Bresnahan (BBB) locomotor scoring, and return of reflexive micturition function. At the acute timepoint (1 dpi), diffusion metrics sensitive to axonal injury at the injury epicenter had the strongest correlation with time-matched BBB scores and best predicted 90 dpi BBB scores. At 30 dpi, axonal water fraction (AWF) derived from DWI and T2 values were both correlated with time-matched locomotor scores. At the chronic timepoint (90 dpi), cross sectional area (CSA) was most closely correlated to BBB. Overall, the results demonstrate differential sensitivity of MRI metrics at different timepoints after injury, but the metrics follow the expected pathology of acute axonal injury followed by continued degeneration and finally a terminal level of atrophy. The specificity of DWI in the acute setting may make it impactful as a prognostic tool while T2 imaging provided the most information about injury severity in chronic injury."
654,Rechdi Ahdab,"BACKGROUND
Somatotopy is considered the hallmark of the primary motor cortex. While this is fundamentally true for the major body parts (head, upper and lower extremities), evidence supporting the existence of within-limb somatotopy is scarce.


METHOD
We report a young man presenting recurrent ischemic strokes with selective finger weakness in whom serial motor cortex mapping procedures were performed.


RESULT
Following the first stroke, which largely spared the motor cortex, motor mapping displayed overlap of the motor representations of the hand muscles. The second focal stroke, affecting the lateral part of the hand knob, resulted in selective loss of the first dorsal interosseous muscle motor evoked potentials while sparing those of the adductor digiti minimi muscle. This observation is in apparent contradiction with the first mapping results that suggested complete overlap of motor representations.


DISCUSSION
Our mapping results provide evidence for the existence of very precise within-limb somatotopy and confirm the proposed homuncular order, whereby lateral fingers are represented laterally and medial fingers medially. The discrepancy between the initial and subsequent mapping results is discussed in light of functional organization of the primary motor cortex."
